feedback_id,text,rating
1,Interface is confusing at times.,2
2,Support team was helpful.,4
3,Feature set feels limited.,3
4,Great value for the price.,5
5,Performance could be better.,2
6,App crashes occasionally.,1
7,Amazing onboarding experience.,4
8,Reports need more customization.,3
9,Solid customer service.,5
10,Loved the ease of use.,5
11,Interface is confusing at times.,2
12,Support team was helpful.,4
13,Feature set feels limited.,3
14,Great value for the price.,5
15,Performance could be better.,2
16,App crashes occasionally.,1
17,Amazing onboarding experience.,4
18,Reports need more customization.,3
19,Solid customer service.,5
20,Loved the ease of use.,5
21,Interface is confusing at times.,2
22,Support team was helpful.,4
23,Feature set feels limited.,3
24,Great value for the price.,5
25,Performance could be better.,2
26,App crashes occasionally.,1
27,Amazing onboarding experience.,4
28,Reports need more customization.,3
29,Solid customer service.,5
30,Loved the ease of use.,5
31,Interface is confusing at times.,2
32,Support team was helpful.,4
33,Feature set feels limited.,3
34,Great value for the price.,5
35,Performance could be better.,2
36,App crashes occasionally.,1
37,Amazing onboarding experience.,4
38,Reports need more customization.,3
39,Solid customer service.,5
40,Loved the ease of use.,5
41,Interface is confusing at times.,2
42,Support team was helpful.,4
43,Feature set feels limited.,3
44,Great value for the price.,5
45,Performance could be better.,2
46,App crashes occasionally.,1
47,Amazing onboarding experience.,4
48,Reports need more customization.,3
49,Solid customer service.,5
50,Loved the ease of use.,5
51,Interface is confusing at times.,2
52,Support team was helpful.,4
53,Feature set feels limited.,3
54,Great value for the price.,5
55,Performance could be better.,2
56,App crashes occasionally.,1
57,Amazing onboarding experience.,4
58,Reports need more customization.,3
59,Solid customer service.,5
60,Loved the ease of use.,5
61,Interface is confusing at times.,2
62,Support team was helpful.,4
63,Feature set feels limited.,3
64,Great value for the price.,5
65,Performance could be better.,2
66,App crashes occasionally.,1
67,Amazing onboarding experience.,4
68,Reports need more customization.,3
69,Solid customer service.,5
70,Loved the ease of use.,5
71,Interface is confusing at times.,2
72,Support team was helpful.,4
73,Feature set feels limited.,3
74,Great value for the price.,5
75,Performance could be better.,2
76,App crashes occasionally.,1
77,Amazing onboarding experience.,4
78,Reports need more customization.,3
79,Solid customer service.,5
80,Loved the ease of use.,5
81,Interface is confusing at times.,2
82,Support team was helpful.,4
83,Feature set feels limited.,3
84,Great value for the price.,5
85,Performance could be better.,2
86,App crashes occasionally.,1
87,Amazing onboarding experience.,4
88,Reports need more customization.,3
89,Solid customer service.,5
90,Loved the ease of use.,5
91,Interface is confusing at times.,2
92,Support team was helpful.,4
93,Feature set feels limited.,3
94,Great value for the price.,5
95,Performance could be better.,2
96,App crashes occasionally.,1
97,Amazing onboarding experience.,4
98,Reports need more customization.,3
99,Solid customer service.,5
100,Loved the ease of use.,5
101,Interface is confusing at times.,2
102,Support team was helpful.,4
103,Feature set feels limited.,3
104,Great value for the price.,5
105,Performance could be better.,2
106,App crashes occasionally.,1
107,Amazing onboarding experience.,4
108,Reports need more customization.,3
109,Solid customer service.,5
110,Loved the ease of use.,5
111,Interface is confusing at times.,2
112,Support team was helpful.,4
113,Feature set feels limited.,3
114,Great value for the price.,5
115,Performance could be better.,2
116,App crashes occasionally.,1
117,Amazing onboarding experience.,4
118,Reports need more customization.,3
119,Solid customer service.,5
120,Loved the ease of use.,5
121,Interface is confusing at times.,2
122,Support team was helpful.,4
123,Feature set feels limited.,3
124,Great value for the price.,5
125,Performance could be better.,2
126,App crashes occasionally.,1
127,Amazing onboarding experience.,4
128,Reports need more customization.,3
129,Solid customer service.,5
130,Loved the ease of use.,5
131,Interface is confusing at times.,2
132,Support team was helpful.,4
133,Feature set feels limited.,3
134,Great value for the price.,5
135,Performance could be better.,2
136,App crashes occasionally.,1
137,Amazing onboarding experience.,4
138,Reports need more customization.,3
139,Solid customer service.,5
140,Loved the ease of use.,5
141,Interface is confusing at times.,2
142,Support team was helpful.,4
143,Feature set feels limited.,3
144,Great value for the price.,5
145,Performance could be better.,2
146,App crashes occasionally.,1
147,Amazing onboarding experience.,4
148,Reports need more customization.,3
149,Solid customer service.,5
150,Loved the ease of use.,5
151,Interface is confusing at times.,2
152,Support team was helpful.,4
153,Feature set feels limited.,3
154,Great value for the price.,5
155,Performance could be better.,2
156,App crashes occasionally.,1
157,Amazing onboarding experience.,4
158,Reports need more customization.,3
159,Solid customer service.,5
160,Loved the ease of use.,5
161,Interface is confusing at times.,2
162,Support team was helpful.,4
163,Feature set feels limited.,3
164,Great value for the price.,5
165,Performance could be better.,2
166,App crashes occasionally.,1
167,Amazing onboarding experience.,4
168,Reports need more customization.,3
169,Solid customer service.,5
170,Loved the ease of use.,5
171,Interface is confusing at times.,2
172,Support team was helpful.,4
173,Feature set feels limited.,3
174,Great value for the price.,5
175,Performance could be better.,2
176,App crashes occasionally.,1
177,Amazing onboarding experience.,4
178,Reports need more customization.,3
179,Solid customer service.,5
180,Loved the ease of use.,5
181,Interface is confusing at times.,2
182,Support team was helpful.,4
183,Feature set feels limited.,3
184,Great value for the price.,5
185,Performance could be better.,2
186,App crashes occasionally.,1
187,Amazing onboarding experience.,4
188,Reports need more customization.,3
189,Solid customer service.,5
190,Loved the ease of use.,5
191,Interface is confusing at times.,2
192,Support team was helpful.,4
193,Feature set feels limited.,3
194,Great value for the price.,5
195,Performance could be better.,2
196,App crashes occasionally.,1
197,Amazing onboarding experience.,4
198,Reports need more customization.,3
199,Solid customer service.,5
200,Loved the ease of use.,5
201,Interface is confusing at times.,2
202,Support team was helpful.,4
203,Feature set feels limited.,3
204,Great value for the price.,5
205,Performance could be better.,2
206,App crashes occasionally.,1
207,Amazing onboarding experience.,4
208,Reports need more customization.,3
209,Solid customer service.,5
210,Loved the ease of use.,5
211,Interface is confusing at times.,2
212,Support team was helpful.,4
213,Feature set feels limited.,3
214,Great value for the price.,5
215,Performance could be better.,2
216,App crashes occasionally.,1
217,Amazing onboarding experience.,4
218,Reports need more customization.,3
219,Solid customer service.,5
220,Loved the ease of use.,5
221,Interface is confusing at times.,2
222,Support team was helpful.,4
223,Feature set feels limited.,3
224,Great value for the price.,5
225,Performance could be better.,2
226,App crashes occasionally.,1
227,Amazing onboarding experience.,4
228,Reports need more customization.,3
229,Solid customer service.,5
230,Loved the ease of use.,5
231,Interface is confusing at times.,2
232,Support team was helpful.,4
233,Feature set feels limited.,3
234,Great value for the price.,5
235,Performance could be better.,2
236,App crashes occasionally.,1
237,Amazing onboarding experience.,4
238,Reports need more customization.,3
239,Solid customer service.,5
240,Loved the ease of use.,5
241,Interface is confusing at times.,2
242,Support team was helpful.,4
243,Feature set feels limited.,3
244,Great value for the price.,5
245,Performance could be better.,2
246,App crashes occasionally.,1
247,Amazing onboarding experience.,4
248,Reports need more customization.,3
249,Solid customer service.,5
250,Loved the ease of use.,5
251,Interface is confusing at times.,2
252,Support team was helpful.,4
253,Feature set feels limited.,3
254,Great value for the price.,5
255,Performance could be better.,2
256,App crashes occasionally.,1
257,Amazing onboarding experience.,4
258,Reports need more customization.,3
259,Solid customer service.,5
260,Loved the ease of use.,5
261,Interface is confusing at times.,2
262,Support team was helpful.,4
263,Feature set feels limited.,3
264,Great value for the price.,5
265,Performance could be better.,2
266,App crashes occasionally.,1
267,Amazing onboarding experience.,4
268,Reports need more customization.,3
269,Solid customer service.,5
270,Loved the ease of use.,5
271,Interface is confusing at times.,2
272,Support team was helpful.,4
273,Feature set feels limited.,3
274,Great value for the price.,5
275,Performance could be better.,2
276,App crashes occasionally.,1
277,Amazing onboarding experience.,4
278,Reports need more customization.,3
279,Solid customer service.,5
280,Loved the ease of use.,5
281,Interface is confusing at times.,2
282,Support team was helpful.,4
283,Feature set feels limited.,3
284,Great value for the price.,5
285,Performance could be better.,2
286,App crashes occasionally.,1
287,Amazing onboarding experience.,4
288,Reports need more customization.,3
289,Solid customer service.,5
290,Loved the ease of use.,5
291,Interface is confusing at times.,2
292,Support team was helpful.,4
293,Feature set feels limited.,3
294,Great value for the price.,5
295,Performance could be better.,2
296,App crashes occasionally.,1
297,Amazing onboarding experience.,4
298,Reports need more customization.,3
299,Solid customer service.,5
300,Loved the ease of use.,5
301,Interface is confusing at times.,2
302,Support team was helpful.,4
303,Feature set feels limited.,3
304,Great value for the price.,5
305,Performance could be better.,2
306,App crashes occasionally.,1
307,Amazing onboarding experience.,4
308,Reports need more customization.,3
309,Solid customer service.,5
310,Loved the ease of use.,5
311,Interface is confusing at times.,2
312,Support team was helpful.,4
313,Feature set feels limited.,3
314,Great value for the price.,5
315,Performance could be better.,2
316,App crashes occasionally.,1
317,Amazing onboarding experience.,4
318,Reports need more customization.,3
319,Solid customer service.,5
320,Loved the ease of use.,5
321,Interface is confusing at times.,2
322,Support team was helpful.,4
323,Feature set feels limited.,3
324,Great value for the price.,5
325,Performance could be better.,2
326,App crashes occasionally.,1
327,Amazing onboarding experience.,4
328,Reports need more customization.,3
329,Solid customer service.,5
330,Loved the ease of use.,5
331,Interface is confusing at times.,2
332,Support team was helpful.,4
333,Feature set feels limited.,3
334,Great value for the price.,5
335,Performance could be better.,2
336,App crashes occasionally.,1
337,Amazing onboarding experience.,4
338,Reports need more customization.,3
339,Solid customer service.,5
340,Loved the ease of use.,5
341,Interface is confusing at times.,2
342,Support team was helpful.,4
343,Feature set feels limited.,3
344,Great value for the price.,5
345,Performance could be better.,2
346,App crashes occasionally.,1
347,Amazing onboarding experience.,4
348,Reports need more customization.,3
349,Solid customer service.,5
350,Loved the ease of use.,5
351,Interface is confusing at times.,2
352,Support team was helpful.,4
353,Feature set feels limited.,3
354,Great value for the price.,5
355,Performance could be better.,2
356,App crashes occasionally.,1
357,Amazing onboarding experience.,4
358,Reports need more customization.,3
359,Solid customer service.,5
360,Loved the ease of use.,5
361,Interface is confusing at times.,2
362,Support team was helpful.,4
363,Feature set feels limited.,3
364,Great value for the price.,5
365,Performance could be better.,2
366,App crashes occasionally.,1
367,Amazing onboarding experience.,4
368,Reports need more customization.,3
369,Solid customer service.,5
370,Loved the ease of use.,5
371,Interface is confusing at times.,2
372,Support team was helpful.,4
373,Feature set feels limited.,3
374,Great value for the price.,5
375,Performance could be better.,2
376,App crashes occasionally.,1
377,Amazing onboarding experience.,4
378,Reports need more customization.,3
379,Solid customer service.,5
380,Loved the ease of use.,5
381,Interface is confusing at times.,2
382,Support team was helpful.,4
383,Feature set feels limited.,3
384,Great value for the price.,5
385,Performance could be better.,2
386,App crashes occasionally.,1
387,Amazing onboarding experience.,4
388,Reports need more customization.,3
389,Solid customer service.,5
390,Loved the ease of use.,5
391,Interface is confusing at times.,2
392,Support team was helpful.,4
393,Feature set feels limited.,3
394,Great value for the price.,5
395,Performance could be better.,2
396,App crashes occasionally.,1
397,Amazing onboarding experience.,4
398,Reports need more customization.,3
399,Solid customer service.,5
400,Loved the ease of use.,5
401,Interface is confusing at times.,2
402,Support team was helpful.,4
403,Feature set feels limited.,3
404,Great value for the price.,5
405,Performance could be better.,2
406,App crashes occasionally.,1
407,Amazing onboarding experience.,4
408,Reports need more customization.,3
409,Solid customer service.,5
410,Loved the ease of use.,5
411,Interface is confusing at times.,2
412,Support team was helpful.,4
413,Feature set feels limited.,3
414,Great value for the price.,5
415,Performance could be better.,2
416,App crashes occasionally.,1
